number,name,status
801,Reserved,"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
754,IEEE 754 Floating Point Special Values,"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
709,Inlined comprehensions,"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
707,A simplified signature for __exit__ and __aexit__,"<dt class=""field-odd"">Status<span class=""colon"">:</span></dt>"
704,Require virtual environments by default for package installers,"<dt class=""field-odd"">Status<span class=""colon"">:</span></dt>"
708,Extending the Repository API to Mitigate Dependency Confusion Attacks,"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
703,Making the Global Interpreter Lock Optional in CPython,"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
706,Filter for tarfile.extractall,"<dt class=""field-odd"">Status<span class=""colon"">:</span></dt>"
699,Remove private dict version field added in PEP 509,"<dt class=""field-odd"">Status<span class=""colon"">:</span></dt>"
702,Marking deprecations using the type system,"<dt class=""field-odd"">Status<span class=""colon"">:</span></dt>"
701,Syntactic formalization of f-strings,"<dt class=""field-odd"">Status<span class=""colon"">:</span></dt>"
697,Limited C API for Extending Opaque Types,"<dt class=""field-odd"">Status<span class=""colon"">:</span></dt>"
700,Additional Fields for the Simple API for Package Indexes,"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
698,Override Decorator for Static Typing,"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
694,Upload 2.0 API for Python Package Repositories,"<dt class=""field-odd"">Status<span class=""colon"">:</span></dt>"
695,Type Parameter Syntax,"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
696,Type defaults for TypeVarLikes,"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
692,Using TypedDict for more precise **kwargs typing,"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
693,Python 3.12 Release Schedule,"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
691,JSON-based Simple API for Python Package Indexes,"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
688,Making the buffer protocol accessible in Python,"<dt class=""field-odd"">Status<span class=""colon"">:</span></dt>"
686,Make UTF-8 mode default,"<dt class=""field-odd"">Status<span class=""colon"">:</span></dt>"
689,Unstable C API tier,"<dt class=""field-odd"">Status<span class=""colon"">:</span></dt>"
687,Isolating modules in the standard library,"<dt class=""field-odd"">Status<span class=""colon"">:</span></dt>"
685,Comparison of extra names for optional distribution dependencies,"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
690,Lazy Imports,"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
682,Format Specifier for Signed Zero,"<dt class=""field-odd"">Status<span class=""colon"">:</span></dt>"
681,Data Class Transforms,"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
683,"Immortal Objects, Using a Fixed Refcount","<dt class=""field-odd"">Status<span class=""colon"">:</span></dt>"
684,A Per-Interpreter GIL,"<dt class=""field-odd"">Status<span class=""colon"">:</span></dt>"
680,tomllib: Support for Parsing TOML in the Standard Library,"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
679,Allow parentheses in assert statements,"<dt class=""field-odd"">Status<span class=""colon"">:</span></dt>"
678,Enriching Exceptions with Notes,"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
676,PEP Infrastructure Process,"<dt class=""field-odd"">Status<span class=""colon"">:</span></dt>"
674,Disallow using macros as l-values,"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
677,Callable Type Syntax,"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
675,Arbitrary Literal String Type,"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
673,Self Type,"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
671,Syntax for late-bound function argument defaults,"<dt class=""field-odd"">Status<span class=""colon"">:</span></dt>"
672,Unicode-related Security Considerations for Python,"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
666,Reject Foolish Indentation,"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
669,Low Impact Monitoring for CPython,"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
668,Marking Python base environments as “externally managed”,"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
667,Consistent views of namespaces,"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
670,Convert macros to functions in the Python C API,"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
665,A file format to list Python dependencies for reproducibility of an application,"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
664,Python 3.11 Release Schedule,"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
663,"Standardizing Enum str(), repr(), and format() behaviors","<dt class=""field-odd"">Status<span class=""colon"">:</span></dt>"
662,Editable installs via virtual wheels,"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
661,Sentinel Values,"<dt class=""field-odd"">Status<span class=""colon"">:</span></dt>"
658,Serve Distribution Metadata in the Simple Repository API,"<dt class=""field-odd"">Status<span class=""colon"">:</span></dt>"
660,Editable installs for pyproject.toml based builds (wheel based),"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
659,Specializing Adaptive Interpreter,"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
653,Precise Semantics for Pattern Matching,"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
654,Exception Groups and except*,"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
655,Marking individual TypedDict items as required or potentially-missing,"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
652,Maintaining the Stable ABI,"<dt class=""field-odd"">Status<span class=""colon"">:</span></dt>"
656,Platform Tag for Linux Distributions Using Musl,"<dt class=""field-odd"">Status<span class=""colon"">:</span></dt>"
651,Robust Stack Overflow Handling,"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
657,Include Fine Grained Error Locations in Tracebacks,"<dt class=""field-odd"">Status<span class=""colon"">:</span></dt>"
650,Specifying Installer Requirements for Python Projects,"<dt class=""field-odd"">Status<span class=""colon"">:</span></dt>"
649,Deferred Evaluation Of Annotations Using Descriptors,"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
648,Extensible customizations of the interpreter at startup,"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
647,User-Defined Type Guards,"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
643,Metadata for Package Source Distributions,"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
644,Require OpenSSL 1.1.1 or newer,"<dt class=""field-odd"">Status<span class=""colon"">:</span></dt>"
642,Explicit Pattern Syntax for Structural Pattern Matching,"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
645,Allow writing optional types as ,"<dt class=""field-odd"">Status<span class=""colon"">:</span></dt>"
646,Variadic Generics,"<dt class=""field-odd"">Status<span class=""colon"">:</span></dt>"
640,Unused variable syntax,"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
637,Support for indexing with keyword arguments,"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
638,Syntactic Macros,"<dt class=""field-odd"">Status<span class=""colon"">:</span></dt>"
641,Using an underscore in the version portion of Python 3.10 compatibility tags,"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
635,Structural Pattern Matching: Motivation and Rationale,"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
634,Structural Pattern Matching: Specification,"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
636,Structural Pattern Matching: Tutorial,"<dt class=""field-odd"">Status<span class=""colon"">:</span></dt>"
639,Improving License Clarity with Better Package Metadata,"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
631,Dependency specification in pyproject.toml based on PEP 508,"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
633,Dependency specification in pyproject.toml using an exploded TOML table,"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
632,Deprecate distutils module,"<dt class=""field-odd"">Status<span class=""colon"">:</span></dt>"
628,Add ,"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
627,Recording installed projects,"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
629,Versioning PyPI’s Simple API,"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
630,Isolating Extension Modules,"<dt class=""field-odd"">Status<span class=""colon"">:</span></dt>"
625,Filename of a Source Distribution,"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
623,Remove wstr from Unicode,"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
626,Precise line numbers for debugging and other tools.,"<dt class=""field-odd"">Status<span class=""colon"">:</span></dt>"
624,Remove Py_UNICODE encoder APIs,"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
622,Structural Pattern Matching,"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
619,Python 3.10 Release Schedule,"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
620,Hide implementation details from the C API,"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
621,Storing project metadata in pyproject.toml,"<dt class=""field-odd"">Status<span class=""colon"">:</span></dt>"
618,Add Optional Length-Checking To zip,"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
617,New PEG parser for CPython,"<dt class=""field-odd"">Status<span class=""colon"">:</span></dt>"
616,String methods to remove prefixes and suffixes,"<dt class=""field-odd"">Status<span class=""colon"">:</span></dt>"
615,Support for the IANA Time Zone Database in the Standard Library,"<dt class=""field-odd"">Status<span class=""colon"">:</span></dt>"
